uploads,subs,views,country,country_archive_date,country_url,category,cat_archive_date,cat_url,created_at,grade,sb_rank,subs_rank,vid_view_rank,country_rank,category_rank
726.0,5820000.0,878162828.0,RU,20210415071817,https://socialblade.com/youtube/top/country/ru,Autos,20210415071817,https://socialblade.com/youtube/top/category/autos,"Oct 28th, 2009",B+,"8,861st","2,140th","5,599th",69th,5th
2186.0,4327264.0,749395308.0,,20190721124412,https://socialblade.com/youtube/top/country/,People,20190721124412,https://socialblade.com/youtube/top/category/people,"Jun 18th, 2016",,,,,,
295.0,5910000.0,498783293.0,AE,20210415080135,https://socialblade.com/youtube/top/country/ae,Autos,20210415080135,https://socialblade.com/youtube/top/category/autos,"Sep 12th, 2007",B+,"7,590th","2,093rd","12,282nd",19th,4th
,,,,,,,,,,,,,,,
618.0,4880000.0,1111434547.0,RU,20210111022938,https://socialblade.com/youtube/top/country/ru,Autos,20210111022938,https://socialblade.com/youtube/top/category/autos,"Dec 27th, 2010",B+,"10,317th","2,594th","3,914th",87th,9th
934.0,4940000.0,1142326388.0,US,20210415072946,https://socialblade.com/youtube/top/country/us,Autos,20210415072946,https://socialblade.com/youtube/top/category/autos,"Jul 9th, 2015",A-,"3,058th","2,794th","4,561st",876th,10th
178.0,5170000.0,742069730.0,GB,20211120150924,https://socialblade.com/youtube/top/country/gb,Games,20211120150924,https://socialblade.com/youtube/top/category/games,"Aug 12th, 2010",B+,"25,356th","2,959th","9,135th",125th,325th
807.0,4320000.0,777992846.0,US,20210415070424,https://socialblade.com/youtube/top/country/us,Autos,20210415070424,https://socialblade.com/youtube/top/category/autos,"Oct 13th, 2010",B+,"12,922nd","3,395th","6,607th","1,035th",12th
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
587.0,3675520.0,111740269.0,,20190830030645,https://socialblade.com/youtube/top/country/,,20190830030645,https://socialblade.com/youtube/top/category/,"Nov 13th, 2017",,,,,,
,,,,,,,,,,,,,,,
3052.0,4440000.0,1541948796.0,US,20210812054020,https://socialblade.com/youtube/top/country/us,Autos,20210812054020,https://socialblade.com/youtube/top/category/autos,"Aug 19th, 2007",B+,"6,303rd","3,513th","3,487th","1,059th",13th
555.0,3800000.0,1203719521.0,US,20201119013642,https://socialblade.com/youtube/top/country/us,Autos,20201119013642,https://socialblade.com/youtube/top/category/autos,"Sep 11th, 2013",B+,"7,886th","3,645th","3,376th","1,108th",15th
271.0,2900000.0,351491365.0,RU,20200629193233,https://socialblade.com/youtube/top/country/ru,Autos,20200629193233,https://socialblade.com/youtube/top/category/autos,"Mar 6th, 2013",B+,"10,476th","4,821st","12,414th",181st,23rd
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
